Number	Str_ID	Assays	Transcripts	Genes	Tissues	Cell	Condition	Dornor	Organism	Source	Inclusion
35	Xenium_Prime_Ovarian_Cancer_FFPE_outs	Xenium	120,455,566	5001	Ovary	407,124	Ovarian cancer	1	Human	https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-ovarian-cancer	y
36	Xenium_Prime_Cervical_Cancer_FFPE_outs	Xenium	89,640,525	5001	Cervix	840,387	Cervical cancer	1	Human	https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-cervical-cancer	y
38	Xenium_Prime_Human_Skin_FFPE_outs	Xenium	63,114,400	5006	Skin	112,551	Melanoma	1	Human	https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-skin	y
39	Xenium_Prime_Human_Prostate_FFPE_outs	Xenium	53,257,609	5006	Prostate	193,000	Adenocarcinoma	1	Human	https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-prostate	y
40	Xenium_Prime_Human_Lymph_Node_Reactive_FFPE_outs	Xenium	202,153,544	4624	Lymph Node	708,983	Reactive	1	Human	https://www.10xgenomics.com/datasets/preview-data-xenium-prime-gene-expression	y
41	Xenium_V1_Human_Ovarian_Cancer_Addon_FFPE_outs	Xenium	16,727,805	380	Ovary	247,636	Ovarian Cancer	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-ovarian-cancer-data-with-human-immuno-oncology-profiling-panel-and-custom-add-on-1-standard	y
42	Xenium_V1_Human_Lung_Cancer_Addon_FFPE_outs	Xenium	32,069,615	380	Lung	161,000	Lung Cancer	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-lung-cancer-data-with-human-immuno-oncology-profiling-panel-and-custom-add-on-1-standard	y
43	Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs	Xenium	17,288,420	380	Pancreas	235,099	Ductal Adenocarcinoma	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-ductal-adenocarcinoma-data-with-human-immuno-oncology-profiling-panel-1-standard	y
44	Xenium_V1_Human_Colorectal_Cancer_Addon_FFPE_outs	Xenium	40,150,499	380	Colon	388,175	Colorectal Cancer	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-colorectal-cancer-data-with-human-immuno-oncology-profiling-panel-and-custom-add-on-1-standard	y
45	Xenium_V1_Human_Brain_GBM_FFPE_outs	Xenium	161,795,999	380	Brain	816,769	Glioblastoma multiforme	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-brain-cancer-data-with-human-immuno-oncology-profiling-panel-and-custom-add-on-1-standard	y
49	Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section_outs	Xenium	6,933,297	477	Bone Marrow	225,906	Acute Lymphoid Leukemia bone marrow	1	Human	https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard	y
50	Xenium_V1_hBoneMarrow_nondiseased_section_outs	Xenium	880,224	477	Bone Marrow	84,518	Healthy	1	Human	https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard	y
51	Xenium_V1_hBone_nondiseased_section_outs	Xenium	1,069,690	477	Femur/Bone	33,801	Healthy	1	Human	https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard	y
55	Xenium_V1_FFPE_Human_Breast_IDC_Big_1_outs	Xenium	105,584,672	280	Breast	892,966	Breast Cancer	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-breast-using-the-entire-sample-area-1-standard	y
56	Xenium_V1_FFPE_Human_Breast_IDC_Big_2_outs	Xenium	100,634,191	280	Breast	885,523	Breast Cancer	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-breast-using-the-entire-sample-area-1-standard	y
57	Xenium_V1_FFPE_Human_Breast_IDC_With_Addon_outs	Xenium	80,038,239	380	Breast	574,527	Breast Cancer	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-breast-with-custom-add-on-panel-1-standard	y
58	Xenium_V1_FFPE_Human_Breast_ILC_With_Addon_outs	Xenium	44,455,657	380	Breast	365,604	Breast Cancer	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-breast-with-custom-add-on-panel-1-standard	y
59	Xenium_V1_FFPE_Human_Breast_IDC_outs	Xenium	68,113,826	280	Breast	574,852	Breast Cancer	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-breast-with-pre-designed-panel-1-standard	y
60	Xenium_V1_FFPE_Human_Breast_ILC_outs	Xenium	36,519,833	280	Breast	356,746	Breast Cancer	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-breast-with-pre-designed-panel-1-standard	y
61	Xenium_V1_hPancreas_nondiseased_section_outs	Xenium	12,632,487	377	Pancreas	103,901	Healthy	1	Human	https://www.10xgenomics.com/datasets/human-pancreas-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard	y
62	Xenium_V1_hKidney_nondiseased_section_outs	Xenium	6,721,196	377	Kidney	97,560	Healthy	1	Human	https://www.10xgenomics.com/datasets/human-kidney-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard	y
63	Xenium_V1_hKidney_cancer_section_outs	Xenium	4,052,443	377	Kidney	56,510	Papillary Renal Cell Carcinoma	1	Human	https://www.10xgenomics.com/datasets/human-kidney-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard	y
