radius,test_accuracy,test_recall,test_precision,test_specificity,test_f1,test_auc
10,0.5439727306365967,0.8430629372596741,0.5275142192840576,0.2448824793100357,0.6489641070365906,0.5439727065959059
20,0.5365533232688904,0.8294726610183716,0.5230498313903809,0.24363397061824799,0.6415501832962036,0.5365533103334976
30,0.5383306741714478,0.8339759707450867,0.5240877866744995,0.24268542230129242,0.6436761617660522,0.5383306872306646
50,0.5320413112640381,0.814163088798523,0.5204835534095764,0.24991953372955322,0.6350122690200806,0.5320413090128755
80,0.5273506045341492,0.8052147030830383,0.5175805687904358,0.24948646128177643,0.6301254630088806,0.5273505852688324
100,0.5222797393798828,0.7989389300346375,0.5143433213233948,0.24562059342861176,0.6258044242858887,0.5222797598470472
120,0.5215376615524292,0.793704092502594,0.5139462351799011,0.24937120079994202,0.623899519443512,0.521537638880637
