radius,test_accuracy,test_recall,test_precision,test_specificity,test_f1,test_auc
10,0.5643176436424255,0.8685682415962219,0.5399860739707947,0.2600671052932739,0.6659519672393799,0.564317673378076
20,0.5653635859489441,0.8887487649917603,0.5396919846534729,0.24197842180728912,0.671572208404541,0.5653635981504834
30,0.5676003694534302,0.8800498247146606,0.5416027903556824,0.2551509439945221,0.6705399751663208,0.5676003734827264
50,0.5655089020729065,0.865999698638916,0.5409179329872131,0.2650180757045746,0.6659022569656372,0.5655089004743789
80,0.549045979976654,0.8433369398117065,0.5308740735054016,0.2547549903392792,0.6515821814537048,0.5490459784010315
100,0.5542535781860352,0.8576674461364746,0.5337644219398499,0.2508397698402405,0.6580162644386292,0.5542536052753445
120,0.5452592372894287,0.835893988609314,0.5286220908164978,0.2546245753765106,0.6476612091064453,0.5452592664297337
