gene,pval,logfoldchanges,cluster
OLFM4,1.0,0.0,1
ITGB5,1.0,0.0,1
PLA2G1B,1.0,0.0,1
CFAP73,1.0,0.0,1
TSPAN19,1.0,0.0,1
MUC13,1.0,0.0,1
CLEC1B,1.0,0.0,1
TSPAN8,1.0,0.0,1
MYL1,1.0,0.0,1
MUCL1,1.0,0.0,1
KRT78,1.0,0.0,1
DNTT,1.0,0.0,1
DNAH12,1.0,0.0,1
CYP17A1,1.0,0.0,1
CRTAC1,1.0,0.0,1
LTF,1.0,0.0,1
SSPN,1.0,0.0,1
ANKRD1,1.0,0.0,1
MUC6,1.0,0.0,1
TRH,1.0,0.0,1
AZGP1,1.0,0.0,1
TSLP,1.0,0.0,1
LINC01510,1.0,0.0,1
CPA4,1.0,0.0,1
TRBV4-2,1.0,0.0,1
TRBV7-3,1.0,0.0,1
TRBV9,1.0,0.0,1
TRBV27,1.0,0.0,1
TRBV30,1.0,0.0,1
CRHBP,1.0,0.0,1
AOC1,1.0,0.0,1
CCNO,1.0,0.0,1
ESM1,1.0,0.0,1
NDP,1.0,0.0,1
GATA1,1.0,0.0,1
XAGE2,1.0,0.0,1
PLP1,1.0,0.0,1
FGA,1.0,0.0,1
DEFA3,1.0,0.0,1
GYPE,1.0,0.0,1
PBK,1.0,0.0,1
ZMAT4,1.0,0.0,1
IL5,1.0,0.0,1
PPP1R9A,1.0,0.0,1
LIPF,1.0,0.0,1
SPINK1,1.0,0.0,1
HIST1H3B,1.0,0.0,1
GMPR,1.0,0.0,1
PGC,1.0,0.0,1
RSPH9,1.0,0.0,1
CRISP2,1.0,0.0,1
CRISP3,1.0,0.0,1
GSTA2,1.0,0.0,1
C6orf58,1.0,0.0,1
IL20RA,1.0,0.0,1
PNLDC1,1.0,0.0,1
CPLX2,1.0,0.0,1
RANBP17,1.0,0.0,1
FOXI1,1.0,0.0,1
NPY,1.0,0.0,1
HOXA7,1.0,0.0,1
EPDR1,1.0,0.0,1
FABP6,1.0,0.0,1
CCL26,1.0,0.0,1
CCL24,1.0,0.0,1
HAND1,1.0,0.0,1
SPINK5,1.0,0.0,1
EFCAB1,1.0,0.0,1
CRH,1.0,0.0,1
CA1,1.0,0.0,1
ADH7,1.0,0.0,1
TM4SF19,1.0,0.0,1
MS4A8,1.0,0.0,1
ACY3,1.0,0.0,1
ZDHHC19,1.0,0.0,1
MUC4,1.0,0.0,1
C11orf97,1.0,0.0,1
ARHGAP42,1.0,0.0,1
MMP10,1.0,0.0,1
MMP1,1.0,0.0,1
MMP12,1.0,0.0,1
MMP13,1.0,0.0,1
TEX12,1.0,0.0,1
ATP13A4-AS1,1.0,0.0,1
SPTSSB,1.0,0.0,1
CP,1.0,0.0,1
CPB1,1.0,0.0,1
MSMB,1.0,0.0,1
DKK1,1.0,0.0,1
RBP2,1.0,0.0,1
CLDN18,1.0,0.0,1
FAM25A,1.0,0.0,1
MS4A3,1.0,0.0,1
CYTL1,1.0,0.0,1
PRG2,1.0,0.0,1
CXCL6,1.0,0.0,1
CALB1,1.0,0.0,1
ADH1C,1.0,0.0,1
NOV,1.0,0.0,1
TG,1.0,0.0,1
PSCA,1.0,0.0,1
IBSP,1.0,0.0,1
CXCL9,1.0,0.0,1
WDR38,1.0,0.0,1
CFAP157,1.0,0.0,1
ALB,1.0,0.0,1
CCKBR,1.0,0.0,1
CFAP77,1.0,0.0,1
FCN2,1.0,0.0,1
LCN1,1.0,0.0,1
FDCSP,1.0,0.0,1
NKX2-8,1.0,0.0,1
SCT,1.0,0.0,1
APOA4,1.0,0.0,1
MUC5AC,1.0,0.0,1
IGF2,1.0,0.0,1
SCGB1C1,1.0,0.0,1
SLC25A21,1.0,0.0,1
UBD,1.0,0.0,1
IGLV1-40,1.0,0.0,1
ALDH3A1,1.0,0.0,1
GGT5,1.0,0.0,1
CCL8,1.0,0.0,1
CCL13,1.0,0.0,1
CCL15,1.0,0.0,1
IL20,1.0,0.0,1
CTSE,1.0,0.0,1
CFHR1,1.0,0.0,1
IGLC6,1.0,0.0,1
LAMC2,1.0,0.0,1
ITGB3,1.0,0.0,1
FMO2,1.0,0.0,1
IGLV3-9,1.0,0.0,1
IGLV2-11,1.0,0.0,1
EPX,1.0,0.0,1
MPO,1.0,0.0,1
IGLV2-14,1.0,0.0,1
IGLV3-19,1.0,0.0,1
IGLV3-21,1.0,0.0,1
IGLV2-23,1.0,0.0,1
APOA2,1.0,0.0,1
AURKB,1.0,0.0,1
TEKT1,1.0,0.0,1
LAMB3,1.0,0.0,1
TFF1,1.0,0.0,1
CNRIP1,1.0,0.0,1
IGKV2-26,1.0,0.0,1
ZG16,1.0,0.0,1
AHSP,1.0,0.0,1
CAPN14,1.0,0.0,1
REG3A,1.0,0.0,1
MYCN,1.0,0.0,1
IGKV6D-21,1.0,0.0,1
AC233755.2,1.0,0.0,1
CCL22,1.0,0.0,1
ALOX15,1.0,0.0,1
CHRM3,1.0,0.0,1
TFF2,1.0,0.0,1
ACTA1,1.0,0.0,1
CLCNKB,1.0,0.0,1
CTRB2,1.0,0.0,1
DYNLRB2,1.0,0.0,1
NECAB2,1.0,0.0,1
FAM92B,1.0,0.0,1
SPNS2,1.0,0.0,1
IGLV3-25,1.0,0.0,1
IGLV1-44,1.0,0.0,1
CD207,1.0,0.0,1
IGLV5-45,1.0,0.0,1
SPRR2G,1.0,0.0,1
BSND,1.0,0.0,1
HAS1,1.0,0.0,1
SPRR1A,1.0,0.0,1
ANGPTL4,1.0,0.0,1
ERICH3,1.0,0.0,1
DNASE2B,1.0,0.0,1
KLF1,1.0,0.0,1
SELENBP1,1.0,0.0,1
KLK11,1.0,0.0,1
HSD3B2,1.0,0.0,1
KLK10,1.0,0.0,1
HAMP,1.0,0.0,1
LGALS7,1.0,0.0,1
CLCA4,1.0,0.0,1
LGALS7B,1.0,0.0,1
NCCRP1,1.0,0.0,1
PGLYRP1,1.0,0.0,1
CKM,1.0,0.0,1
APOC2,1.0,0.0,1
CEACAM5,1.0,0.0,1
ELANE,1.0,0.0,1
LDLRAD1,1.0,0.0,1
S100A1,1.0,0.0,1
IGLV4-69,1.0,0.0,1
CHST9,1.0,0.0,1
IGLV1-47,1.0,0.0,1
IGLV1-51,1.0,0.0,1
IGLV10-54,1.0,0.0,1
ATP1A2,1.0,0.0,1
IGLV6-57,1.0,0.0,1
GRP,1.0,0.0,1
SERPINB13,1.0,0.0,1
IGLV8-61,1.0,0.0,1
FAM183A,1.0,0.0,1
WFDC12,1.0,0.0,1
AVP,1.0,0.0,1
CD1B,1.0,0.0,1
PGBD1,1.0,0.0,1
CST2,1.0,0.0,1
CD1A,1.0,0.0,1
CD5L,1.0,0.0,1
BPI,1.0,0.0,1
TNNT1,1.0,0.0,1
BCAN,1.0,0.0,1
GKN1,1.0,0.0,1
PCP4,1.0,0.0,1
IGHV3-11,1.0,0.0,1
KLK3,1.0,0.0,1
PRDM16,1.0,0.0,1
IGHV3-43,1.0,0.0,1
CCL3L1,1.0,0.0,1
IGKV2D-30,1.0,0.0,1
IGKV1-16,1.0,0.0,1
IGHV1-46,1.0,0.0,1
PNLIP,1.0,0.0,1
IGKV2-30,1.0,0.0,1
IGHV4-59,1.0,0.0,1
IGKV2-24,1.0,0.0,1
DEFA5,1.0,0.0,1
IGHV3-48,1.0,0.0,1
IGHV3-49,1.0,0.0,1
IGHV3-53,1.0,0.0,1
IGKV1D-39,1.0,0.0,1
MUC2,1.0,0.0,1
IGLVI-70,1.0,0.0,1
IFNB1,1.0,0.0,1
IGHV4-34,1.0,0.0,1
DEFA6,1.0,0.0,1
IGHV1-18,1.0,0.0,1
IGHV3-20,1.0,0.0,1
IGKV2D-24,1.0,0.0,1
IGHV3-21,1.0,0.0,1
IGHV2-5,1.0,0.0,1
IGHV3-66,1.0,0.0,1
IGHV3-23,1.0,0.0,1
IGHV4-4,1.0,0.0,1
IGKV3-11,1.0,0.0,1
IGHV1-24,1.0,0.0,1
IGHV3-30,1.0,0.0,1
IGHV4-31,1.0,0.0,1
IGHV3-33,1.0,0.0,1
IGHV6-1,1.0,0.0,1
IGKV1-33,1.0,0.0,1
UMOD,1.0,0.0,1
IGLV2-18,1.0,0.0,1
IGHV3-72,1.0,0.0,1
IGKV3D-20,1.0,0.0,1
TRAV19,1.0,0.0,1
PGA5,1.0,0.0,1
IGKV1-8,1.0,0.0,1
RBPMS2,1.0,0.0,1
VPREB1,1.0,0.0,1
GYPA,1.0,0.0,1
HBM,1.0,0.0,1
IGKV1D-8,1.0,0.0,1
IGHV4-39,1.0,0.0,1
IGKV1D-12,1.0,0.0,1
IGLV7-43,1.0,0.0,1
FABP1,1.0,0.0,1
CCDC78,1.0,0.0,1
SYT16,1.0,0.0,1
IGKV1-27,1.0,0.0,1
DLGAP5,1.0,0.0,1
PAEP,1.0,0.0,1
IGKJ1,1.0,0.0,1
IGKV2-29,1.0,0.0,1
TRBV19,1.0,0.0,1
IGHV3-73,1.0,0.0,1
CHGA,1.0,0.0,1
IGHV3-74,1.0,0.0,1
STON2,1.0,0.0,1
IGKV1-6,1.0,0.0,1
IGKV2D-28,1.0,0.0,1
IGHV3-13,1.0,0.0,1
IGKV1D-16,1.0,0.0,1
IGKV1-9,1.0,0.0,1
AK1,0.9954373845939233,-0.004943624,1
IL2RB,0.9905168143182236,-0.008425149,1
SFTPA1,0.9879223356361331,-0.010172172,1
CSTA,0.9867518998163249,-0.017477944,1
ITM2C,0.9720786086761286,-0.022797799,1
SCGB3A2,0.9706705956145956,-0.05415367,1
SPRR3,0.9706705956145956,-0.05415367,1
REXO2,0.9693289216398526,-0.015816314,1
IFI27,0.9614598612961189,-0.036683295,1
SOX4,0.9574760804105105,-0.05497924,1
RNF130,0.9491498568790331,-0.07388159,1
HIST1H4C,0.9451102039133932,-0.039218638,1
NOP16,0.9399698137290542,-0.055395126,1
COTL1,0.9317471493350379,-0.03771535,1
TNFRSF12A,0.9310682808573657,-0.12510322,1
VSIG4,0.9308970336321171,-0.12510322,1
RALGPS2,0.9308970336321171,-0.12510322,1
RASGRP3,0.9305507141540081,-0.12510322,1
CLIC5,0.9305507141540081,-0.12510322,1
PCCB,0.9300160105195459,-0.090751,1
NNMT,0.8913210969474143,-0.19277772,1
FDX1,0.8883962172099416,-0.07844713,1
TIMP1,0.8856541363031221,-0.073270045,1
CDK6,0.8765272309436345,-0.09355957,1
CRELD2,0.8602750582893084,-0.10401859,1
IFITM3,0.8571182320307041,-0.07962865,1
SAT1,0.8544580673965525,-0.096051216,1
RGL4,0.8537081082531469,-0.09498503,1
FBLN1,0.8524742176263906,-0.25746843,1
MAFB,0.851382443718092,-0.25746843,1
S100A10,0.8342008006486792,-0.092038594,1
RPL22L1,0.83248183952283,-0.08184969,1
TNFSF13B,0.8297969827791983,-0.2911594,1
DKC1,0.8084680113808046,-0.14200081,1
CD8B,0.7769103179789711,-0.24140388,1
FOXO4,0.7751688612387466,-0.37888363,1
OAT,0.7657396866194148,-0.18213108,1
CCL3,0.7548885137940147,-0.22610857,1
PTP4A3,0.7421937987438845,-0.26168373,1
IGLC3,0.7382257422181716,-0.43602774,1
FAM89A,0.7369827065150425,-0.43602774,1
EPOR,0.7363546041236145,-0.43602774,1
SERPINA1,0.7323258692881296,-0.43982187,1
PLCG2,0.7233717924477585,-0.28300604,1
ICAM1,0.7118452944533924,-0.3524048,1
CLDN5,0.7014534580121848,-0.49103618,1
ENG,0.7000568694428493,-0.49103618,1
LYN,0.6993512994963101,-0.49103618,1
FOS,0.6886451354445611,-0.35085413,1
MS4A6A,0.6631462518877255,-0.54406434,1
HBA2,0.6587862128520199,-0.41124502,1
CPPED1,0.6286507989474812,-0.5952512,1
ZWINT,0.6030156424780717,-0.6447217,1
NUSAP1,0.5978529252565215,-0.6447217,1
XCL2,0.5934310292722458,-0.44747603,1
IRF7,0.5790807046634978,-0.353944,1
METTL13,0.558804408213041,-0.5224297,1
HIST1H2AC,0.5572261813285371,-0.44363797,1
HLA-DQA1,0.5254048763578052,-0.40397623,1
IFI6,0.5186680302112404,-0.32241452,1
H2AFZ,0.5023049186874304,-0.2358619,1
RECK,0.4962466919008852,-0.78390825,1
PTPRE,0.461145201854828,-0.47608942,1
STXBP2,0.4234653017130763,-0.37658134,1
TWISTNB,0.41890982562653345,-0.5180528,1
S100A11,0.41758633669530865,-0.28553465,1
IL23A,0.3963448913485763,-0.5454177,1
ACSS1,0.36330756711444046,-0.7842475,1
MNDA,0.35666087917749967,-0.9902482,1
RAN,0.3551656832065063,-0.28724968,1
TFDP1,0.35012966998882744,-0.6174074,1
S100A6,0.3477828838984057,-0.67308325,1
S100A4,0.32606449100265233,-1.259104,1
CFB,0.31749804571168194,-19.56364,1
LMTK3,0.31749804571168194,-19.56364,1
LILRA4,0.31749804571168194,-19.56364,1
PACRG,0.31749804571168194,-19.56364,1
TRBV7-2,0.31749804571168194,-19.56364,1
ORM1,0.31749804571168194,-19.56364,1
ARHGAP6,0.31749804571168194,-19.56364,1
GSTA1,0.31749804571168194,-19.56364,1
CD177,0.31749804571168194,-22.151396,1
CDC20B,0.31749804571168194,-19.56364,1
IGLV2-8,0.31749804571168194,-19.56364,1
KLK2,0.31749804571168194,-19.56364,1
CACNG8,0.31749804571168194,-19.56364,1
SUGCT,0.31749804571168194,-19.56364,1
TRBV6-5,0.31749804571168194,-19.56364,1
SLC6A14,0.31749804571168194,-19.56364,1
TMEM190,0.31749804571168194,-19.56364,1
EDN2,0.31749804571168194,-19.56364,1
TXNDC5,0.31749804571168194,-19.56364,1
TRBV4-1,0.31749804571168194,-19.56364,1
TFPI2,0.31749804571168194,-19.56364,1
TREML1,0.31749804571168194,-19.56364,1
STC1,0.31749804571168194,-19.56364,1
DEPDC1,0.31749804571168194,-19.56364,1
BANK1,0.31749804571168194,-19.56364,1
FAM178B,0.31749804571168194,-19.56364,1
KRT23,0.31749804571168194,-19.56364,1
OMG,0.31749804571168194,-19.56364,1
IGKV3-15,0.31749804571168194,-19.56364,1
C11orf88,0.31749804571168194,-19.56364,1
CEACAM6,0.31749804571168194,-19.56364,1
RGS13,0.31749804571168194,-19.56364,1
MMP7,0.31749804571168194,-19.56364,1
KIF18B,0.31749804571168194,-19.56364,1
MYL4,0.31749804571168194,-19.56364,1
FOLR1,0.31749804571168194,-19.56364,1
IGHA2,0.31749804571168194,-19.56364,1
CST6,0.31749804571168194,-19.56364,1
CYGB,0.31749804571168194,-19.56364,1
IGKV1-17,0.31749804571168194,-19.56364,1
MS4A2,0.31749804571168194,-19.56364,1
FCGR2B,0.31749804571168194,-19.56364,1
RND3,0.31749804571168194,-19.56364,1
ANKRD29,0.31749804571168194,-19.56364,1
EFHB,0.31749804571168194,-19.56364,1
ATP12A,0.31749804571168194,-19.56364,1
MEG3,0.31749804571168194,-19.56364,1
CCL7,0.31749804571168194,-19.56364,1
GALNT5,0.31749804571168194,-19.56364,1
FGFBP1,0.31749804571168194,-19.56364,1
DRC3,0.31749804571168194,-19.56364,1
CHL1,0.31749804571168194,-19.56364,1
GPRC5A,0.31749804571168194,-19.56364,1
TNNC1,0.31749804571168194,-19.56364,1
IGKV1-5,0.31749804571168194,-19.56364,1
HDC,0.31749804571168194,-19.56364,1
KRT5,0.31749804571168194,-19.56364,1
CEMIP,0.31749804571168194,-19.56364,1
NXPH4,0.31749804571168194,-19.56364,1
WIF1,0.31749804571168194,-19.56364,1
IGHV3-7,0.31749804571168194,-19.56364,1
KITLG,0.31749804571168194,-19.56364,1
MT1H,0.31749804571168194,-19.56364,1
CETP,0.31749804571168194,-19.56364,1
DPEP3,0.31749804571168194,-19.56364,1
CDC42BPA,0.31749804571168194,-19.56364,1
LINC00304,0.31749804571168194,-19.56364,1
ZMYND15,0.31749804571168194,-19.56364,1
SPC25,0.31749804571168194,-19.56364,1
SLC38A11,0.31749804571168194,-19.56364,1
CLNK,0.31749804571168194,-19.56364,1
CAMP,0.31749804571168194,-19.56364,1
CXCL5,0.31749804571168194,-19.56364,1
LY6H,0.31749804571168194,-19.56364,1
AZU1,0.31749804571168194,-19.56364,1
TMEM63C,0.31749804571168194,-19.56364,1
CXCL11,0.31749804571168194,-19.56364,1
CLC,0.31749804571168194,-19.56364,1
CXCL13,0.31749804571168194,-20.564198,1
SDR16C5,0.31749804571168194,-19.56364,1
CD72,0.31749804571168194,-19.56364,1
CRCT1,0.31749804571168194,-19.56364,1
TRAV12-3,0.31749804571168194,-19.56364,1
GPX2,0.31749804571168194,-19.56364,1
LYPD2,0.31749804571168194,-20.564198,1
CCDC151,0.31749804571168194,-19.56364,1
FAM129C,0.31749804571168194,-19.56364,1
CKAP2L,0.31749804571168194,-19.56364,1
SDC2,0.31749804571168194,-19.56364,1
CA8,0.31749804571168194,-19.56364,1
GDF15,0.31749804571168194,-19.56364,1
SPAG17,0.31749804571168194,-19.56364,1
PRSS57,0.31749804571168194,-19.56364,1
CA3,0.31749804571168194,-19.56364,1
C1orf189,0.31749804571168194,-19.56364,1
PI3,0.31749804571168194,-19.56364,1
CYP2F1,0.31749804571168194,-19.56364,1
SERPINB3,0.31749804571168194,-19.56364,1
DRD4,0.31749804571168194,-19.56364,1
CD1E,0.31749804571168194,-19.56364,1
FAM216B,0.31749804571168194,-19.56364,1
SIRPD,0.31749804571168194,-19.56364,1
LRRC26,0.31749804571168194,-19.56364,1
CCDC74A,0.31749804571168194,-19.56364,1
AXL,0.31749804571168194,-19.56364,1
IGKV2D-29,0.31749804571168194,-19.56364,1
OLFM1,0.31749804571168194,-19.56364,1
TMEM56,0.31749804571168194,-19.56364,1
GFI1B,0.31749804571168194,-19.56364,1
RNASE2,0.31749804571168194,-19.56364,1
HBD,0.31749804571168194,-19.56364,1
CRIP1,0.31691072997865866,-0.73375523,1
TCTEX1D2,0.30474716965522197,-0.83585423,1
HOPX,0.3028534006526765,-0.5265422,1
NCL,0.3009457099088025,-0.3290652,1
NAMPT,0.29814581856608446,-0.5365336,1
MKRN1,0.29720437367230373,-0.41884843,1
LTC4S,0.2925626519236167,-1.1015575,1
RRM2,0.2891238624550321,-23.660051,1
SLC2A1,0.290330618615493,-1.1015575,1
PSMG1,0.2866879283143176,-0.8574796,1
HBB,0.276647752299032,-0.6755363,1
GCLM,0.2705600231493903,-0.75336874,1
IL17A,0.2644506719668687,-22.738037,1
GAPDH,0.26146833048008383,-0.7633319,1
HNRNPAB,0.25622367568178844,-0.57915235,1
HSP90B1,0.25277929313063263,-0.45372474,1
TPGS2,0.24736570248099518,-0.7003226,1
JUN,0.24570105516413163,-1.0625596,1
BNIP3L,0.24190764358144018,-0.50697666,1
HEBP1,0.2412717307816382,-0.9205716,1
PRKAR2B,0.22539035316781628,-21.887802,1
CCDC50,0.21625777068350138,-1.238106,1
FCER1G,0.2150847280477781,-0.63187,1
CST3,0.21143423977155573,-0.75888956,1
VCAN,0.21103508472841784,-1.238106,1
GTSE1,0.20602621886000097,-21.565315,1
TYMS,0.2032125789506505,-23.743074,1
NEAT1,0.19710115466381764,-0.5988947,1
LST1,0.19613690050675459,-0.68904126,1
MT2A,0.1920961134291002,-0.5623179,1
GSTP1,0.19262181123960007,-0.56665826,1
KLRD1,0.18270810925073352,-1.0583767,1
IL1B,0.18091269439885108,-1.301966,1
PMCH,0.16560610183870123,-21.887802,1
TRBV14,0.15737961004283563,-22.151396,1
WDR17,0.1573796100428356,-20.564198,1
SORT1,0.1573796100428356,-20.564198,1
ROPN1L,0.1573796100428356,-20.564198,1
SPRR1B,0.1573796100428356,-20.564198,1
IL1R2,0.1573796100428356,-20.564198,1
CYP4B1,0.1573796100428356,-20.564198,1
LGALSL,0.1573796100428356,-20.564198,1
CCDC17,0.1573796100428356,-20.564198,1
IGKV4-1,0.1573796100428356,-20.564198,1
DDR2,0.1573796100428356,-20.564198,1
TNFAIP6,0.1573796100428356,-20.564198,1
SFN,0.1573796100428356,-20.564198,1
RHCE,0.1573796100428356,-20.564198,1
IGKV1-12,0.1573796100428356,-20.564198,1
PFKFB2,0.1573796100428356,-20.564198,1
CENPA,0.1573796100428356,-20.564198,1
SNTN,0.1573796100428356,-20.564198,1
AC008268.1,0.1573796100428356,-20.564198,1
AKR1C2,0.1573796100428356,-20.564198,1
SFTA1P,0.1573796100428356,-20.564198,1
EBI3,0.1573796100428356,-20.564198,1
INHBA,0.1573796100428356,-20.564198,1
KRT17,0.1573796100428356,-20.564198,1
CDK1,0.1573796100428356,-20.564198,1
DEFB1,0.1573796100428356,-20.564198,1
RRAD,0.1573796100428356,-20.564198,1
IGLV3-1,0.1573796100428356,-20.564198,1
CMTM2,0.1573796100428356,-20.564198,1
ZNF556,0.1573796100428356,-20.564198,1
JSRP1,0.1573796100428356,-20.564198,1
PAPPA,0.1573796100428356,-20.564198,1
ORM2,0.1573796100428356,-20.564198,1
TRBV5-1,0.1573796100428356,-20.564198,1
IGLL1,0.1573796100428356,-20.564198,1
TRBV3-1,0.1573796100428356,-20.564198,1
CD19,0.1573796100428356,-20.564198,1
HSD17B6,0.1573796100428356,-20.564198,1
ENHO,0.1573796100428356,-20.564198,1
LY6D,0.1573796100428356,-20.564198,1
LAMP5,0.1573796100428356,-20.564198,1
KRT6C,0.1573796100428356,-20.564198,1
PLIN5,0.1573796100428356,-20.564198,1
UPK3B,0.1573796100428356,-20.564198,1
PLD4,0.1573796100428356,-20.564198,1
CD22,0.1573796100428356,-20.564198,1
SIGLEC10,0.1573796100428356,-20.564198,1
FCGBP,0.1573796100428356,-20.564198,1
STXBP6,0.1573796100428356,-20.564198,1
CTSG,0.1573796100428356,-20.564198,1
LY6G6F,0.1573796100428356,-20.564198,1
NKX2-1,0.1573796100428356,-20.564198,1
FOLR2,0.1573796100428356,-20.564198,1
CLEC10A,0.1573796100428356,-20.564198,1
KLK12,0.1573796100428356,-20.564198,1
PPP1R14A,0.1573796100428356,-20.564198,1
POU2AF1,0.1573796100428356,-20.564198,1
CSF3,0.1573796100428356,-20.564198,1
ARG1,0.1573796100428356,-20.564198,1
GNAZ,0.1573796100428356,-20.564198,1
SLC25A37,0.15845195843052784,-0.91609997,1
IER5,0.1582073077960967,-0.86495674,1
ECI2,0.15636905220148262,-0.75835717,1
CTSS,0.15250226017432378,-0.4636075,1
TMEM14C,0.15194103692691133,-0.5574041,1
DUT,0.14899988246326573,-0.48569798,1
TK1,0.1443595364947893,-23.743074,1
LYAR,0.14749934587573468,-0.74542433,1
MT1F,0.14657079085758193,-0.9814746,1
FCGR3A,0.14475215533665625,-1.4220515,1
CD79B,0.14573326179676624,-1.1262202,1
SOCS2,0.1436210658301211,-0.9439504,1
CCNB2,0.13172237715672466,-21.887802,1
PCNA,0.1344338923675625,-0.83374256,1
RNF145,0.12958014474380872,-0.95616573,1
FCN1,0.1262664195907488,-1.4220515,1
JUNB,0.12600843002689843,-1.8588096,1
LDLR,0.12539749307964368,-1.1318938,1
ISOC2,0.12452926430570531,-1.1318938,1
RUFY1,0.12366019210759337,-1.1318938,1
TUBA1B,0.11583575484948501,-0.5634089,1
IL22,0.11050931717619092,-24.03482,1
MYOM2,0.11254176508484824,-1.5062013,1
MYBL2,0.10832237939800404,-22.374348,1
ASPM,0.10832237939800404,-22.374348,1
IL13,0.10602367303523375,-22.738037,1
BIRC5,0.10249254442185772,-21.565315,1
IGHV1-3,0.10249254442185772,-21.565315,1
CMTM5,0.10249254442185772,-21.565315,1
CDK4,0.10243816657348066,-1.0246571,1
FBLN5,0.10231007577176811,-1.1848136,1
MIF,0.09710399954446915,-0.64665073,1
RHOB,0.09591965885323642,-0.9502223,1
KLF10,0.089535974683144,-1.2191106,1
TSPAN17,0.08835715683201291,-1.5332361,1
MCM7,0.0876408596111894,-1.2691692,1
CHIT1,0.08326442394079842,-21.14972,1
PKIB,0.08326442394079842,-21.14972,1
PYCR1,0.08326442394079842,-21.14972,1
DPYSL3,0.08326442394079842,-21.14972,1
LCN2,0.08326442394079842,-21.14972,1
RASSF6,0.08326442394079842,-21.14972,1
GP9,0.08326442394079842,-21.14972,1
PDZK1IP1,0.08326442394079842,-21.14972,1
SNCG,0.08326442394079842,-21.14972,1
IGKV3-20,0.08326442394079842,-21.14972,1
TIMD4,0.08326442394079842,-21.14972,1
KRT15,0.08326442394079842,-21.14972,1
NCAPG,0.08326442394079842,-21.14972,1
CCL17,0.08326442394079842,-21.14972,1
AGR3,0.08326442394079842,-21.14972,1
IGHG4,0.08326442394079842,-21.14972,1
CD34,0.08326442394079842,-21.14972,1
FAM111B,0.08326442394079842,-21.14972,1
AKR1C1,0.08326442394079842,-21.14972,1
FAM177B,0.08326442394079842,-21.14972,1
GKN2,0.08326442394079842,-21.14972,1
GJB6,0.08326442394079842,-21.14972,1
CCDC13,0.08326442394079842,-21.14972,1
AQP4,0.08326442394079842,-21.14972,1
CFAP53,0.08326442394079842,-21.14972,1
EMCN,0.08326442394079842,-21.14972,1
TMEM40,0.08326442394079842,-21.14972,1
SERPINB2,0.08326442394079842,-21.14972,1
KRT7,0.08326442394079842,-21.14972,1
PLK1,0.08326442394079842,-21.14972,1
ACRBP,0.08326442394079842,-21.14972,1
BASP1,0.08326442394079842,-21.14972,1
IGFBP2,0.08326442394079842,-21.14972,1
FCRL5,0.08326442394079842,-21.14972,1
BGLAP,0.08326442394079842,-21.14972,1
PBX1,0.08326442394079842,-21.14972,1
CDCA3,0.08326442394079842,-21.14972,1
TPX2,0.08326442394079835,-22.151396,1
NRGN,0.0826614585334943,-24.580997,1
ANXA2,0.07909306826468446,-0.54284066,1
CCT6A,0.07848809839115554,-0.6677509,1
CSF2,0.0736270002479828,-22.567553,1
PAK1IP1,0.07215061487413912,-1.5858921,1
CTSZ,0.06823813486771892,-1.6115459,1
PTCRA,0.05875361043287495,-21.887802,1
MND1,0.05875361043287495,-21.887802,1
CDC20,0.05775036091135688,-22.151396,1
NUP214,0.059586482683426374,-1.636771,1
DNASE1L3,0.05216844522062519,-22.374348,1
SUB1,0.05458403676106025,-0.6502252,1
RTKN2,0.05116449518926112,-1.7569438,1
PRDX2,0.04982984414053018,-0.6824546,1
DERL3,0.045458292729932,-21.565315,1
ITGA2B,0.045458292729932,-21.565315,1
DAB2,0.045458292729932,-21.565315,1
TGFA,0.045458292729932,-21.565315,1
PEBP4,0.045458292729932,-21.565315,1
LAMP3,0.045458292729932,-21.565315,1
CYP1B1,0.045458292729932,-21.565315,1
RBP7,0.045458292729932,-21.565315,1
TNC,0.045458292729932,-21.565315,1
HMOX1,0.045458292729932,-21.565315,1
TFF3,0.045458292729932,-21.565315,1
GATA2,0.045458292729932,-21.565315,1
IGFBP5,0.045458292729932,-21.565315,1
CSF1R,0.045458292729932,-21.565315,1
PTX3,0.045458292729932,-21.565315,1
SLC40A1,0.046263180539910125,-1.4176568,1
CMC1,0.044433992966209604,-1.1512606,1
SERBP1,0.04433930902364525,-0.6536822,1
TUBB1,0.0395443496554892,-23.154753,1
SLIRP,0.040833871072864195,-0.9614632,1
KIF2C,0.033842878313685286,-22.151396,1
SAA1,0.033842878313685286,-22.151396,1
TNFRSF13B,0.033842878313685286,-22.151396,1
RHD,0.033842878313685286,-22.151396,1
MRC1,0.033842878313685286,-22.151396,1
PRSS27,0.033842878313685286,-22.151396,1
PCBP3,0.033842878313685286,-22.151396,1
IL32,0.035366136111450695,-1.6673942,1
FHL2,0.03245649254086734,-22.567553,1
STMN1,0.032566911539218264,-1.1597805,1
KLRC2,0.028993913462898056,-23.743074,1
CCT2,0.03078816332518659,-0.7988118,1
IL10,0.02794843786612658,-24.33308,1
CD302,0.025290448795294886,-21.887802,1
PEG10,0.025290448795294886,-21.887802,1
HIST1H2BJ,0.025290448795294886,-21.887802,1
IL3RA,0.025290448795294886,-21.887802,1
GNAI1,0.025290448795294886,-21.887802,1
KCNH2,0.025290448795294886,-21.887802,1
