radius,test_accuracy,test_recall,test_precision,test_specificity,test_f1,test_auc
10,0.55078125,0.8857421875,0.5304093360900879,0.2158203125,0.6634966731071472,0.55078125
20,0.5508555173873901,0.8990018963813782,0.5299803614616394,0.2027091234922409,0.6668429374694824,0.5508555133079848
30,0.5510926246643066,0.880886435508728,0.5307863354682922,0.22129885852336884,0.662423312664032,0.5510926438904278
50,0.5411788821220398,0.8830481767654419,0.524456799030304,0.19930961728096008,0.6580731272697449,0.5411788983941168
80,0.5371682643890381,0.8728539943695068,0.5222381949424744,0.20148257911205292,0.6534875631332397,0.5371682727946627
100,0.5345065593719482,0.8674756288528442,0.5207129716873169,0.20153746008872986,0.6507844924926758,0.5345065562456867
120,0.5310174226760864,0.8627912402153015,0.5186453461647034,0.19924360513687134,0.6478512287139893,0.5310174199115522
